"conceptId","term","refsetId","refsetName","active"
"10335000","Chronic right-sided heart failure","999002401000000105","HF_COD","1"
"10633002","Acute congestive heart failure","999002401000000105","HF_COD","1"
"111283005","Chronic left-sided heart failure","999002401000000105","HF_COD","1"
"1204200007","Left ventricular failure with normal ejection fraction due to valvular heart disease","999002401000000105","HF_COD","1"
"1204203009","Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis","999002401000000105","HF_COD","1"
"1204204003","Left ventricular failure with normal ejection fraction due to myocarditis","999002401000000105","HF_COD","1"
"1204206001","Left ventricular failure with normal ejection fraction due to cardiomyopathy","999002401000000105","HF_COD","1"
"1204462004","Left ventricular failure with sepsis","999002401000000105","HF_COD","1"
"1204468000","Right ventricular failure with sepsis","999002401000000105","HF_COD","1"
"1208843003","Right ventricular failure due to heart valve disorder","999002401000000105","HF_COD","1"
"1208846006","Right ventricular failure due to disorder of lung","999002401000000105","HF_COD","1"
"1208848007","Right ventricular failure due to disorder of pulmonary circulation","999002401000000105","HF_COD","1"
"1208850004","Right ventricular failure due to right ventricular infarction","999002401000000105","HF_COD","1"
"128404006","Right heart failure","999002401000000105","HF_COD","1"
"1296659009","Acute exacerbation of chronic heart failure","999002401000000105","HF_COD","1"
"153941000119100","Chronic combined systolic and diastolic heart failure","999002401000000105","HF_COD","1"
"16838951000119100","Acute on chronic right-sided congestive heart failure","999002401000000105","HF_COD","1"
"195111005","Decompensated cardiac failure","999002401000000105","HF_COD","1"
"195112003","Compensated cardiac failure","999002401000000105","HF_COD","1"
"195114002","Acute left ventricular failure","999002401000000105","HF_COD","1"
"233924009","Heart failure as a complication of care","999002401000000105","HF_COD","1"
"314206003","Refractory heart failure","999002401000000105","HF_COD","1"
"367363000","Right ventricular failure","999002401000000105","HF_COD","1"
"42343007","Congestive heart failure","999002401000000105","HF_COD","1"
"426611007","Congestive heart failure due to valvular disease","999002401000000105","HF_COD","1"
"43736008","Rheumatic left ventricular failure","999002401000000105","HF_COD","1"
"441481004","Chronic systolic heart failure","999002401000000105","HF_COD","1"
"441530006","Chronic diastolic heart failure","999002401000000105","HF_COD","1"
"446221000","Heart failure with normal ejection fraction","999002401000000105","HF_COD","1"
"48447003","Chronic heart failure","999002401000000105","HF_COD","1"
"5375005","Chronic left-sided congestive heart failure","999002401000000105","HF_COD","1"
"56675007","Acute heart failure","999002401000000105","HF_COD","1"
"66989003","Chronic right-sided congestive heart failure","999002401000000105","HF_COD","1"
"703272007","Heart failure with reduced ejection fraction","999002401000000105","HF_COD","1"
"788950000","Heart failure with mid range ejection fraction","999002401000000105","HF_COD","1"
"82523003","Congestive rheumatic heart failure","999002401000000105","HF_COD","1"
"84114007","Heart failure","999002401000000105","HF_COD","1"
"85232009","Left heart failure","999002401000000105","HF_COD","1"
"871617000","Low output heart failure due to and following Fontan operation","999002401000000105","HF_COD","1"
"88805009","Chronic congestive heart failure","999002401000000105","HF_COD","1"
"898208007","Heart failure due to thyrotoxicosis","999002401000000105","HF_COD","1"
"92506005","Biventricular congestive heart failure","999002401000000105","HF_COD","1"
"703272007","Heart failure with reduced ejection fraction","991411000000109","REDEJCFRAC_COD","1"
"703273002","Heart failure with reduced ejection fraction due to coronary artery disease","991411000000109","REDEJCFRAC_COD","1"
"703274008","Heart failure with reduced ejection fraction due to myocarditis","991411000000109","REDEJCFRAC_COD","1"
"703275009","Heart failure with reduced ejection fraction due to cardiomyopathy","991411000000109","REDEJCFRAC_COD","1"
"703276005","Heart failure with reduced ejection fraction due to heart valve disease","991411000000109","REDEJCFRAC_COD","1"
"111552007","Diabetes mellitus without complication","999004691000000108","DM_COD","1"
"112991000000101","Lipoatrophic diabetes mellitus without complication","999004691000000108","DM_COD","1"
"1142044000","Pre-existing malnutrition-related diabetes mellitus in pregnancy","999004691000000108","DM_COD","1"
"11530004","Brittle diabetes mellitus","999004691000000108","DM_COD","1"
"1196922005","Neovascular glaucoma due to diabetes mellitus type 2","999004691000000108","DM_COD","1"
"1196923000","Neovascular glaucoma due to diabetes mellitus type 1","999004691000000108","DM_COD","1"
"1217044000","Ketosis-resistant diabetes mellitus","999004691000000108","DM_COD","1"
"1217068008","Fulminant type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"1217674007","Neurotrophic keratitis due to diabetes mellitus","999004691000000108","DM_COD","1"
"1222660008","Pancreatic agenesis, holoprosencephaly syndrome","999004691000000108","DM_COD","1"
"1255271005","Type 1 diabetes mellitus, central and peripheral neurodegeneration syndrome","999004691000000108","DM_COD","1"
"127012008","Lipoatrophic diabetes","999004691000000108","DM_COD","1"
"127013003","Disorder of kidney due to diabetes mellitus","999004691000000108","DM_COD","1"
"127014009","Peripheral angiopathy due to diabetes mellitus","999004691000000108","DM_COD","1"
"1481000119100","Diabetes mellitus type 2 without retinopathy","999004691000000108","DM_COD","1"
"190368000","Type I diabetes mellitus with ulcer","999004691000000108","DM_COD","1"
